Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2011-12-31,12.513620376586914,20.963890075683594,8.127765655517578,25.954566955566406,10.563896179199219,22.224929809570312,11.17409896850586,27.371898651123047,16.501808166503906,97.75435638427734
2012-01-31,13.888248443603516,21.436967849731445,8.790493965148926,27.854053497314453,11.219732284545898,21.910259246826172,10.770363807678223,28.247743606567383,17.474489212036133,102.28768157958984
2012-02-29,13.80980396270752,22.707597732543945,9.228141784667969,28.630765914916992,12.016691207885742,22.731121063232422,10.835579872131348,28.547574996948242,18.26531982421875,106.72750854492188
2012-03-31,13.862390518188477,21.842464447021484,9.909904479980469,28.911052703857422,12.559147834777832,23.43599510192871,10.98283576965332,29.8256778717041,19.127553939819336,110.16029357910156
2012-04-30,13.749903678894043,21.68720245361328,9.677834510803223,28.594284057617188,12.417567253112793,23.5047607421875,11.177169799804688,29.74638557434082,19.348146438598633,109.42486572265625
2012-05-31,12.681258201599121,19.37053680419922,8.787198066711426,26.786375045776367,11.630535125732422,23.229698181152344,11.239850997924805,28.667856216430664,18.283382415771484,102.85330200195312
2012-06-30,13.304170608520508,20.3022403717041,9.226494789123535,27.68939781188965,12.010125160217285,24.07512855529785,11.701939582824707,30.305349349975586,18.637487411499023,107.0271987915039
2012-07-31,13.134522438049316,21.305580139160156,9.239097595214844,27.798091888427734,12.23168659210205,24.670602798461914,11.996149063110352,30.608312606811523,18.535329818725586,108.29328155517578
2012-08-31,13.439888954162598,21.88066291809082,9.55420970916748,28.22503089904785,12.74586296081543,24.552886962890625,11.499470710754395,30.96711540222168,19.391002655029297,111.00631713867188
2012-09-30,13.946097373962402,22.562427520751953,9.866032600402832,28.54053497314453,12.94123649597168,24.984207153320312,11.633932113647461,32.14663314819336,19.9883975982666,113.82037353515625
2012-10-31,13.654290199279785,22.1046142578125,10.062214851379395,28.50928497314453,12.118507385253906,24.677400588989258,11.796980857849121,32.074527740478516,19.680814743041992,111.74909973144531
2012-11-30,13.908201217651367,21.834218978881836,9.973611831665039,29.009313583374023,12.227643013000488,25.130640029907227,11.291855812072754,32.242774963378906,20.304523468017578,112.38155364990234
2012-12-31,14.352300643920898,22.056652069091797,10.43730354309082,29.82811737060547,12.179779052734375,24.6087703704834,11.289979934692383,32.126895904541016,20.396066665649414,113.38565826416016
